Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
237693055,Sisters in Yellow,Mieko Kawakami,"Kawakami, Mieko","Laurel  Taylor, Hitomi Yoshio","=""0593537734""","=""9780593537732""",0,3.85,Knopf,Hardcover,448,2026,2023,,2025/11/07,to-read,to-read (#325),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.29,Penguin,Paperback,671,2002,1866,,2020/12/23,currently-reading,currently-reading (#13),currently-reading,,,,1,0
11721966,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""0307886255""","=""9780307886255""",0,4.13,Crown Business,Unknown Binding,320,2011,2011,,2025/10/20,to-read,to-read (#324),to-read,,,,0,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",5,4.35,New York Review Books,Paperback,292,2006,1965,2025/10/20,2020/12/23,,,read,incredible masterpiece. coming back for full thoughts later ,,,1,0
47730,The Complete Poems,Anne Sexton,"Sexton, Anne",,"=""0395957761""","=""9780395957769""",0,4.29,Mariner Books,Paperback,622,1999,1981,,2025/10/17,to-read,to-read (#323),to-read,,,,0,0
49628,Cloud Atlas,David  Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.01,Random House,Paperback,509,2004,2004,,2025/10/17,to-read,to-read (#322),to-read,,,,0,0
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""""","=""""",0,4.21,Ecco,Hardcover,304,2010,2010,,2025/10/17,to-read,to-read (#321),to-read,,,,0,0
9809,Invisible Cities,Italo Calvino,"Calvino, Italo",William Weaver,"=""0156453800""","=""9780156453806""",0,4.10,Harcourt,Paperback,165,1974,1972,,2025/10/17,to-read,to-read (#320),to-read,,,,0,0
41644326,Save Me the Plums: My Gourmet Memoir,Ruth Reichl,"Reichl, Ruth",,"=""1400069998""","=""9781400069996""",0,4.10,Random House,Hardcover,266,2019,2019,,2025/10/17,to-read,to-read (#319),to-read,,,,0,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",2,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,2025/10/07,2023/09/18,,,read,review to come :' ),,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",3,3.65,Hogarth,Hardcover,158,2016,2007,2025/09/21,2025/10/16,,,read,placeholder :' ) will review soon,,,1,0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",4,3.94,Vintage Crime,Paperback,231,1988,1939,2025/09/21,2025/10/16,,,read,placeholder till I have more time :' ),,,1,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",5,4.15,Flatiron Books,Hardcover,382,2025,2025,2025/09/10,2025/03/19,,,read,(placeholder till I have more time :' ) ),,,1,0
48703726,Aesthetical Relations,Christina Catherine Martinez,"Martinez, Christina Catherine",,"=""1948434032""","=""9781948434034""",0,4.51,Hesse Press,Paperback,84,2019,2019,,2025/10/16,to-read,to-read (#318),to-read,,,,0,0
123938,America Day by Day,Simone de Beauvoir,"Beauvoir, Simone de",Carol Cosman,"=""0520210670""","=""9780520210677""",0,4.06,University of California Press,Paperback,412,2000,1948,,2025/10/02,to-read,to-read (#317),to-read,,,,0,0
5128,The Doors of Perception & Heaven and Hell,Aldous Huxley,"Huxley, Aldous",,"=""0060595183""","=""9780060595180""",0,3.91,Harper Perennial Modern Classics,Paperback,187,2004,1956,,2025/10/02,to-read,to-read (#316),to-read,,,,0,0
212415737,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0679775439""","=""9780679775430""",0,4.14,Vintage International,Paperback,607,2024,1994,,2025/09/28,to-read,to-read (#315),to-read,,,,0,0
205436018,We Do Not Part,Han Kang,"Kang, Han","E. Yaewon, Paige Aniyah Morris","=""0593595459""","=""9780593595459""",0,3.86,Hogarth,Hardcover,256,2025,2021,,2025/09/24,to-read,to-read (#314),to-read,,,,0,0
17999173,Dear Life,Alice Munro,"Munro, Alice",,"=""0099578638""","=""9780099578635""",0,3.74,RANDOM HOUSE UK,Paperback,319,2013,2011,,2025/09/21,to-read,to-read (#313),to-read,,,,0,0
357486,Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,"Alexievich, Svetlana","Keith Gessen, Alma Lapinskienė","=""0312425848""","=""9780312425845""",0,4.40,Picador,Paperback,236,2006,1997,,2025/09/21,to-read,to-read (#312),to-read,,,,0,0
51648276,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Tokarczuk, Olga","Antonia Lloyd-Jones, Beata Poźniak","=""""","=""""",0,3.94,Penguin Audio,Audible Audio,274,2019,2009,,2025/09/21,to-read,to-read (#311),to-read,,,,0,0
26221990,Morning and Evening,Jon Fosse,"Fosse, Jon",Damion Searls,"=""""","=""""",0,3.91,Dalkey Archive Press,Paperback,109,2015,2000,,2025/09/21,to-read,to-read (#310),to-read,,,,0,0
1320279,Life and Death Are Wearing Me Out,Mo Yan,"Yan, Mo",,"=""1559708530""","=""9781559708531""",0,4.06,Arcade Publishing,Hardcover,540,2008,2006,,2025/09/21,to-read,to-read (#309),to-read,,,,0,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.38,Atria Books,Hardcover,337,2014,2012,,2025/09/12,to-read,to-read (#308),to-read,,,,0,0
41438647,The Dream Machine,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""1732265119""","=""9781732265110""",0,4.54,Stripe Press,Hardcover,528,2018,2001,,2025/09/08,to-read,to-read (#307),to-read,,,,0,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",4,4.49,Metropolitan Books,Hardcover,282,2014,2014,2025/07/30,2024/11/26,,,read,"<b>""Death may be the enemy, but it is also the natural order of things.""</b><br/><br/>This book was gold—a much-needed reminder that we are all mortal. It might seem morbid to dwell on death, to obsess about the way people age ... but I found the topic to be refreshing, and even motivating, because of how jarring it is. Discussing the inevitability of death can feel painful, but if anything it offers a powerful perspective on how we should be treasuring our lives today. Aging is a daunting topic not brought up often in regular conversation, but Gawande makes a good case for why it should be.<br/><br/>This book is one of those rare instances of absolute magic that occurs when the author is fully passionate about his subject and devotes his life to the study of it. We are very lucky he decided to translate his thoughts into this well-written series of case studies. <br/><br/>--------------------------------------------<br/><br/><i>""There's no escaping the tragedy of life, which is that we are all aging from the day that we are born.""<br/><br/>""It is not death that the very old tell me they fear. It is what happens short of death—losing their hearing, their memory, their best friends, their way of life.""<br/><br/>""The chance to shape one's story is essential to sustaining meaning in life.""</i>",,,1,0
204811915,"Tell Me Everything (Amgash, #5)",Elizabeth Strout,"Strout, Elizabeth",,"=""0593446097""","=""9780593446096""",0,4.01,Random House,Hardcover,326,2024,2024,,2025/09/01,to-read,to-read (#306),to-read,,,,0,0
57539677,Case Study,Graeme Macrae Burnet,"Burnet, Graeme Macrae",,"=""1913393194""","=""9781913393199""",0,3.57,Saraband,Hardcover,278,2021,2021,,2025/09/01,to-read,to-read (#305),to-read,,,,0,0
30529,A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful,Edmund Burke,"Burke, Edmund",Adam Phillips,"=""0192835807""","=""9780192835802""",3,3.69,Oxford University Press,Paperback,208,1998,1757,2025/08/20,2021/06/28,,,read,"<b>“As the rose-tree is composed of the sweetest flowers and the sharpest thorns, as the heavens are sometimes overcast—alternately tempestuous and serene—so is the life of man intermingled with hopes and fears, with joys and sorrows, with pleasure and pain.”</b><br/><br/>I enjoyed the principal theory behind this book more than the book itself. I love the idea of the ""sublime"" — finding the ultimate beauty when in contrast against terror. However, the execution of this book was quite a dense exploration of the idea and went completely over my head. Self-initiated thinking about the ideas of the sublime and beautiful is a much better experience than absorbing it from this book.<br/><br/>----------------------------------------------<br/><br/><i>""Nothing tends more to the corruption of science than to suffer it to stagnate. These waters must be troubled, before they can exert their virtues""</i>",,,1,0
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",4,3.70,Knopf,Hardcover,274,2010,2010,2025/08/29,2022/05/10,,,read,"<b>Time's a goon, right?</b><br/><br/>Objectively some of the most masterful use of the English language I've ever witnessed. Certain passages of this book are writing in pure art form. Feeling grateful to have been able to read this in its native language, English.<br/><br/>This book borders on the verge of abstraction v.s. realism in writing form ... I couldn't tell what was happening half the time but I guess that adds to the intrigue and mystique. Overall I can see how this impressed the literary critics and won the Pulitzer Prize, and I don't regret powering through the dregs of the middle to get to the brutally honest and reflective ending. <br/><br/>In another world this would have gotten five stars, but I don't think I'm in the right headspace right now to fully enjoy this strange artistry. Would recommend reading when you are in the mood to fully ruminate on life and art and their mysterious meanings. <br/><br/>----------------------------------------------------------------<br/><br/><i>Suicide is a weapon; that we all know. But what about an art?<br/><br/>Her rebellion and hurt had melted away, deliquesced into a sweet, eternal sunniness that was terrible in the way that life would be terrible, Ted supposed, without death to give it gravitas and shape.</i>",,,1,0
30826231,Designing Interface Animation: Meaningful Motion for User Experience,Val Head,"Head, Val",,"=""1933820721""","=""9781933820729""",0,4.16,Rosenfeld,Paperback,240,2016,,,2025/09/01,to-read,to-read (#304),to-read,,,,0,0
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",3,4.16,Liveright,Hardcover,163,2020,2016,2025/08/14,2021/05/02,,,read,"<b>""“The world had changed a great deal, but the little rules, contracts and customs had not, which meant the world hadn't actually changed at all.”</b><br/><br/>A beautiful, gripping story about one woman's life, struggling with family relationships, her career, and existing as a woman in Korean society. I appreciate the feminist lens through which it criticizes Korean gender standards, but adding in explicit gender statistics about Korean society felt out of place. It really felt like beating the reader over the head instead of allowing them to absorb it themselves through the story. ",,,1,0
867247,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"Musashi, Miyamoto","Victor Harris, Lew Hartman","=""0517415283""","=""9780517415283""",4,3.95,Gramercy,Hardcover,192,1988,1645,2025/08/09,2024/07/21,,,read,"<b>Sharpen your wisdom, distinguish principle and its opposite in the world, learn the good and bad of all things, … This is the heart of the wisdom of the martial arts.</b><br/><br/>Great tips for winning warrior battles that also translate well into winning at everyday life. It makes sense why the quant company was named after this. <br/><br/>---------------------------------------------<br/><i><br/>Though the mind appears weak on the surface, it should be strong on the bottom.<br/><br/>In fighting and in everyday life you should be determined though calm.</i><br/><br/>",,,1,0
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,"=""0679723056""","=""9780679723059""",4,4.01,Vintage Contemporaries,Paperback,159,1989,1981,2025/08/12,2021/06/09,,,read,"<b>'What do any of us really know about love?' 'It seems to me we're just beginners at<br/>love.'</b><br/><br/>Stories with a beautiful, terrifying emptiness tied to the mundanity of everyday life. Carver has such a talent for magnifying the regular human existence into something uncanny that can be viewed as an art piece. I imagine these stories as the written version of Edward Hopper's seemingly ordinary, yet haunting, paintings.",,,1,0
50144,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana","Megan Backus, Noguchi Rika","=""0802142443""","=""9780802142443""",3,3.89,Grove Press,Paperback,160,2006,1988,2025/08/06,2025/07/07,,,read,"<b>When was it I realized that, on this truly dark and solitary path we all walk, the only way we can light is our own?</b><br/><br/>Beautiful because it is artistic in such a unique way. The author's love of kitchens is truly admirable ... it's nice to see what can be viewed as precious art in others' eyes. Not extremely memorable, but still a lovely experience to listen to, uniquely Japanese in its solitary reflections and detail into everyday life.<br/><br/>-------------------------------------------------------------------<br/><i><br/>If a person hasn't ever experienced true despair, she grows old never knowing how to evaluate where she is in life; never understanding what joy really is. I'm grateful for it.<br/><br/>No matter what, I want to continue living with the awareness that I will die. Without that, I am not alive. <br/><br/>Just when one can't take any more, one sees the moonlight. Beauty that seems to infuse itself into the heart: I know about that.<br/></i>",,,1,0
230422850,Letter From Japan,Marie Kondō,"Kondō, Marie",,"=""""","=""9798217088089""",0,4.07,Crown,Hardcover,320,2025,,,2025/08/22,to-read,to-read (#303),to-read,,,,0,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",5,4.38,Magrathea Publishing,Kindle Edition,244,2020,2020,2025/08/01,2025/01/29,,,read,"<b>You will get rich by giving society what it wants but does not yet know how to get. At scale.</b><br/><br/>So funny that what originally started as a tweet storm has transformed into a book that is worth way more than its weight in gold. Naval freely reveals the exact secrets to exponential growth and true wealth creation, beyond the fallacy of earning a linear salary that will only lead to finite amounts of money. <br/><br/>Rating this five stars purely because this book could transform the trajectory of a life. Understanding these concepts is like escaping the matrix of the rat race that society likes to imprison us in. <br/><br/>But beyond just financial freedom, this book also includes principles on life, art, and happiness. Perhaps like a modern day Tao Te Ching ... (& it does actually pull from a lot of Buddhist philosophies)<br/><br/>I also appreciated the emphasis on how important reading is for a successful life. It's sad to see our society gravitating toward TikToks and Labubus when hidden gems of wisdom, past philosophies, and raison d'etre are all still waiting for us in books from the greats who lived before us.<br/><br/>For the sake of attention spans I'll keep this review short ... but I couldn't recommend this book more for anyone who wants to achieve financial freedom, and mental freedom, in our modern society. <br/><br/><br/>--------------------------------------------------------------------<br/><br/><i><br/>Be the best in the world at what you do. Keep redefining what you do until this is true.<br/><br/>If you're not 100% into, somebody else who is 100% into it will outperform you. <br/><br/>Escape competition through authenticity.<br/><br/>The most important skill for getting rich is becoming a perpetual learner.<br/><br/>Earn with your mind, not your time. <br/><br/>Always pay it forward. And don't keep count.<br/><br/>Praise specifically, criticize generally.<br/><br/>A calm, a fit body, and a house full of love. These things cannot be bought. They must be earned.<br/><br/>Don't take yourself so seriously. You're just a monkey with a plan.<br/><br/>Happiness is what's there when you remove the sense that something is missing in your life.<br/><br/>A happy person is someone who effortlessly interprets events in such a way that they don't lose their innate peace.<br/><br/>If you create it for yourself, it's art. If you create it for others, it's business.<br/><br/>All greatness comes from suffering.</i>",,,1,0
216670080,Strange Pictures,Uketsu,"Uketsu, Uketsu",Jim Rion,"=""0063433087""","=""9780063433083""",0,3.95,HarperVia,Paperback,236,2025,2022,,2025/08/01,to-read,to-read (#302),to-read,,,,0,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.16,Knopf,Hardcover,331,2024,2024,,2024/10/19,currently-reading,currently-reading (#12),currently-reading,,,,2,0
24013720,Wind/Pinball: Two Novels,Haruki Murakami,"Murakami, Haruki",Ted Goossen,"=""0385352123""","=""9780385352123""",3,3.53,Knopf,Hardcover,234,2015,1980,2025/07/16,2020/12/23,,,read,"<b>""All things pass. None of us can manage to hold on to anything. In that way, we live our lives.""</b><br/><br/>3.5/5<br/><br/>One of Murakami's earliest novels, a bit rawer than his later ones but still containing the quintessential beauty of internal dialogue found in all of his work. The plot is certainly strange, but it mirrors real life and shines a light on the mundane in such a refreshing way. Objectively I think this is a wonderful book, so maybe I'm only rating it three ish stars because his other ones have managed to leave a much deeper impression on me.<br/><br/>As only his 2nd novel ever, this is an extremely impressive stroke of literary genius, as if a baseball had just fallen from the sky and endowed Murakami with the ability to write. (Spoiler: it kind of did...)<br/><br/>--------------------------------------------------------<br/><i><br/>""Writing is, in effect, the act of verifying the distance between us and the things surrounding us. What we need is not sensitivity, but a measuring stick.""<br/><br/>""Ascribing meaning to life is a piece of cake compared to actually living it.""<br/><br/>""Civilization is communication. That which is not expressed, doesn't exist.""<br/><br/>""Sometimes I imagine how great it would be if we could live our lives without bothering other people.""<br/><br/>""Just about anything looks better from a distance.""<br/><br/>""Is there anything in this world that can't be lost?""<br/></i>",,,1,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",3,3.70,Pantheon,Hardcover,274,2019,1994,2025/07/07,2025/06/29,,,read,"<b>""People, and I'm no exception, seem capable of forgetting almost anything.""</b><br/><br/>Beautiful and intriguing as a story, but unfortunately the meaning was a bit lost on me. The premise itself—the population of entire island slowing losing their memory—is fascinating and makes you want to keep on reading, but the ending was a very unsatisfying confusion for me. <br/><br/>It creates an interesting dialogue around memory but ... for what point, I sadly didn't understand.",,,1,0
59336625,All the Lovers in the Night,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609456998""","=""9781609456993""",3,3.68,Europa Editions,Hardcover,224,2022,2011,2025/07/04,2023/07/26,,,read,"<b>Why does the night have to be so beautiful? Because at night, only half the world remains.</b><br/><br/>Beautifully written escape into the solitary life of a single woman, far removed from the social pressures and stigmas of the life that I find myself living right now. This is a book hooked on fantasies and ideas, promising a tantalizing dream that perhaps never becomes manifested into reality. <br/><br/>Perhaps that's why I didn't like it as much—because instead of satisfying the sublime desire I crave from fiction, this story delivers a very pragmatic reminder ... a call back to Earth. <br/><br/>---------------------------------------------<br/><br/><i>""People here confuse boredom and stagnation with peace and safety.""</i>",,,1,0
42380121,"Tell Them of Battles, Kings, and Elephants",Mathias Énard,"Énard, Mathias",Charlotte Mandell,"=""191069570X""","=""9781910695708""",4,3.85,Fitzcarraldo Editions,Kindle Edition,151,2018,2010,2025/07/04,2023/08/17,,,read,"<b>""Beauty comes from abandoning the refuge of the old forms for the uncertainty of the present.""</b><br/><br/>This book feels like it is written from another age, a rare treat in writing style and subject matter that feels so uniquely Old World. It riffs on historical fiction of a brief side quest Michelangelo completed in Constantinople, with characters so rich and dimensional that I find it sad these interactions may not actually have happened.<br/><br/>The cover design sums it up beautifully: a story from a lost, beautiful age brought back into the modern world through the abstract brushstrokes and brilliant mind of Mathias Énard.<br/><br/>----------------------------------------------<br/><br/><i>""It's work, above all. Talent is nothing without work. Try it, if you like.""<br/><br/>""I know that men are children who chase away their despair with anger, their fear with love ... They cling to stories, they shove them in front of them like banners ... You conquer people by telling them of battles, kings, elephants, and marvelous beings; by speaking to them about the happiness they will find beyond death, the bright light that presided over their birth, the angels wheeling around them, the demons menacing them, and love, love, that promise of oblivion and satiety.""<br/></i><br/><br/>",,,1,0
4799,"Cannery Row (Cannery Row, #1)",John Steinbeck,"Steinbeck, John",,"=""014200068X""","=""9780142000687""",4,4.06,Penguin Books,Paperback,181,2002,1943,2025/06/21,2020/12/29,,,read,"<b>""Who wants to be good, if he has to be hungry too?""</b><br/><br/>A beautiful slice-of-life rendition of a gritty, working class town. Steinbeck always masterfully crafts characters who are a mix of the light and the dark, a reflection of the complexity of real human psyches. There are no heroes or villains, perhaps only the cruelty of the system that manipulates them. <br/><br/>Steinbeck's writing is set against such harsh conditions that it always becomes fiercely optimistic. There is no other way to view the glass than half-full.<br/><br/>-------------------------------------------------------------<br/><br/><i>The things we admire in men, kindness and generosity, openness, honesty, understanding and feeling are the concomitants of failure in our system. And those traits we detest, sharpness, greed, acquisitiveness, meanness, egotism and self-interest are the traits of success. And while men admire the quality of the first they love the produce of the second.</i>",,,1,0
60243188,Bliss Montage,Ling  Ma,"Ma, Ling",,"=""0374293511""","=""9780374293512""",0,3.88,"Farrar, Straus and Giroux",Hardcover,228,2022,2022,,2025/07/11,currently-reading,currently-reading (#11),currently-reading,,,,1,0
32927264,Ms Ice Sandwich,Mieko Kawakami,"Kawakami, Mieko",Louise Heal Kawai,"=""1782273301""","=""9781782273301""",0,3.76,Pushkin Press,Paperback,92,2017,2013,,2025/07/07,"to-read, tr-hopefully-soon","to-read (#301), tr-hopefully-soon (#30)",to-read,,,,0,0
35289,The 33 Strategies of War,Robert Greene,"Greene, Robert",,"=""0670034576""","=""9780670034574""",0,4.23,Viking,Hardcover,496,2025,2001,,2025/07/04,to-read,to-read (#300),to-read,,,,0,0
39330937,The Laws of Human Nature,Robert Greene,"Greene, Robert",,"=""0698184548""","=""9780698184541""",0,4.34,Penguin Books,Kindle Edition,624,2018,2018,,2025/07/04,to-read,to-read (#299),to-read,,,,0,0
58673915,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""1982199520""","=""9781982199524""",4,3.79,Pocket Books,Mass Market Paperback,272,2021,1926,2025/06/18,2021/11/01,,,read,"<b>""We could have had such a damned good time together.""<br/><br/>""Yes, isn't it pretty to think so?""</b><br/><br/>This was a beautifully written experience. Hemingway has such a crisp mastery of the English language that was such a treat to read (or, in my audiobook case, listen) to. <br/><br/>A story full of passion, and warm dripping colors, and the salt of cruel heat. It's quite intriguing to take a peek into the colorful life at the time, but also a little disturbing to witness the sheer amount of gluttony involved. Days full of elite leisure, of not needing to worry about livelihood, seem a requirement to produce this kind of art. Even the ability to consume this type of art is a luxury. Inevitably, unfortunately, that reduced my respect for this book quite a bit. But I guess this decadence applies to nearly all literature, so it's unfair of me to judge.<br/><br/>----------------------------------------------------------<br/><br/><i>“I can't stand it to think my life is going so fast and I'm not really living it.” “Nobody ever lives their life all the way up except bull-fighters.”<br/><br/>""No, nobody ever knows anything.""<br/><br/>You paid some way for everything that was any good.<br/><br/>If you want people to like you, you have only to spend a little money.<br/><br/>""You know it makes one feel rather good deciding not to be a bitch. Yes. It's sort of what we have instead of God.""<br/></i>",,,1,0
762390,The Hour of the Star,Clarice Lispector,"Lispector, Clarice",Giovanni Pontiero,"=""0811211908""","=""9780811211901""",4,4.11,New Directions,Paperback,96,1992,1977,2025/06/14,2024/07/17,,,read,"<b>""And even sadness was also something for rich people, for people who could afford it, for people who didn't have anything better to do. Sadness was a luxury."" </b><br/><br/>A brief, beautiful breeze of a book that I finished in a single day. This is what I imagine an abstract painting would look like in book form. Bits and pieces of random thoughts that, stitched together, form a wandering story. I'm not exactly sure what happened in this book, but it leaves you with a feeling of artistry and a return to pure, unconscious stream-of-thought.",,,1,0
